recipe_name;recipe_url;recipe_image;ingredients;raw_ingredients;instructions
Beef Fajita Marinade;http://www.pinkwhen.com/beef-fajita-marinade-recipe/;https://spoonacular.com/recipeImages/beef-fajita-marinade-715567.jpg;1 Tbsp fresh cilantro,2 cloves garlic,When you are ready to grill, take a cast iron skillet and start sauteing your veggies you want to eat on your fajitas. I chose a red onion thinly sliced, and a red and orange bell pepper, also thinly sliced with a Tbsp of Olive Oil to saute them in. (Have,1 tsp ground chipotle pepper,2 Tbsp fresh lime juice,1 Tbsp lime zest,2Tbsp olive oil,1½ - 2lbs skirt steak;fresh cilantro,garlic,grill cheese,ground chipotle chile pepper,lime juice,lime zest,olive oil,skirt steak;Take and rinse your meat, and then mix all of your marinade ingredients together. Once you have everything mixed well, go ahead and rub all over your cuts of meat. Cover with Saran Wrap and place in the fridge to marinade anywhere from 1 to 3 hours.When you are ready to grill, take a cast iron skillet and start sauteing your veggies you want to eat on your fajitas. I chose a red onion thinly sliced, and a red and orange bell pepper, also thinly sliced with a Tbsp of Olive Oil to saute them in. (Have your grill set at 350 degrees.)When your onions start becoming translucent and you have everything close to ready, it's time to grab those marinating skirt steaks and put them on the grillOnce the steaks are on, close the lid and set your timer for 5 minutes. Open the lid, and flip your steaks. This is the part that is fast! After 10 minutes and the steaks are done, remove them from the grill and cover them in foil.Let cool for a few minutes before slicing and serving.
15 Minute Healthy Dark Chocolate Truffles;http://www.foodista.com/recipe/5P3VR382/15-minute-healthy-dark-chocolate-truffles;https://spoonacular.com/recipeImages/15-Minute-Healthy-Dark-Chocolate-Truffles-631841.jpg;1 tablespoon agave nectar (or honey),1/4 cup plus 2 tablespoons cocoa powder,Optional: coconut flakes, sprinkles, cocoa powder, or crushed nuts for coating the truffles,15 dried dates, pitted,1/2 cup pecans,1/4 teaspoon sea salt,3/4 cups sliced or slivered almonds,1 tablespoon vanilla extract,3 tablespoons Cold Water;agave nectar,cocoa powder,coconut flakes,dates,pecans,sea salt,slivered almonds,vanilla extract,water;<ol><li>Soak the dates in hot water while you get the rest of the ingredients and start on step 2 (about 5 minutes). The water should be hot to the touch but not hot enough to burn you.</li><li>Process the almonds in a food processor until coarse almond meal is formed. Add the pecans and process until they are ground up into a coarse meal as well.</li><li>Drain the dates and use your hand to squeeze out excess water. Add the drained dates, cocoa powder, vanilla extract, agave nectar, and salt to the food processor. Process until a smooth paste forms.</li><li>Use a tablespoon measure to help you form the truffles. Pack a heaping tablespoon of the mixture into the tablespoon measure  really pack it in there. Use your fingers to slide the half-rounded ball out of the tablespoon measure, and then use your hands to form a tightly packed ball of truffle goodness. Be gentle with them  I found that they fall apart if you try to roll them into balls. It is best to squish them with your hand into perfect little spheres.</li><li>Form truffles until you use up all the mixture. The last bit that was not enough for a truffle went straight into my mouth. :)</li><li>If you choose to, gently roll the truffles in the toppings of your choice. I had some turtle crunch sprinkles, unsweetened coconut flakes, and extra cocoa powder. The cocoa powder definitely gives the the truffles an extra dark chocolate kick, so if you dont like the bitterness of the cocoa powder then dont use that as a topping.</li></ol>
Mango Banana Coconut Smoothie;http://foodandspice.blogspot.com/2016/08/mango-banana-coconut-smoothie.html;https://spoonacular.com/recipeImages/mango-banana-coconut-smoothie-798956.jpg;1 frozen banana (2/3 cup sliced),2/3 cup coconut milk,3 pitted dates, chopped,1 cup frozen mango pieces (1/2 large mango),1 teaspoon turmeric,1 1/2 cups water;banana,coconut milk,dates,mango,turmeric,water;<p>Prepare the banana the night before. Peel, slice, and place on a small parchment lined tray. Pop into the freezer.The same can be done with the mango, but I used frozen mango pieces for convenience.Toss all of the ingredients into a blender and blend until smooth, adding more water if necessary. If you like, add some freshly squeezed orange juice for a citrusy flavour.Serve cold.</p>
Valentine's Chicken Marsala;http://www.foodista.com/recipe/HVSZQZWG/valentine-s-chicken-marsala;https://spoonacular.com/recipeImages/Valentines-Chicken-Marsala-664270.jpg;6 oz.sliced, fresh mushrooms,2 large cloves garlic, minced,1/3 cup heavy cream,2 cups Marsala wine,1 tbs olive oil (plus additional to saute mushrooms),Seasoned Breadcrumbs/Coating Mix*,1 large boneless, skinless chicken breast,2 tbs unsalted butter;fresh mushrooms,garlic,heavy cream,marsala wine,olive oil,seasoned breadcrumbs,skinless boneless chicken breast,unsalted butter;<ol><li>Slice mushrooms and pound chicken breast with a mallet between 2 sheets of wax paper to about 1/4 inch. Dredge breast in seasoned crumbs.</li><li>Heat a heavy stainless or cast iron pan (don't use non-stick). Add the butter and the olive oil till butter melts and is bubbly. Add chicken breast and brown on both sides.</li><li>Remove browned breast. Add additional olive oil and saute mushrooms and garlic.</li><li>Deglaze pan with wine.</li><li>Add browned chicken breast back to pan. Bring to boil, reduce heat, cover and simmer for 30 min.</li><li>Remove chicken from pan. Add cream and reduce sauce 50%.</li><li>Serve over cooked pasta, if desired.</li></ol>
Vegetarian Chinese Pot Stickers;http://www.foodista.com/recipe/KF58KP4Y/vegan-vegetarian-pot-stickers;https://spoonacular.com/recipeImages/Vegetarian-Chinese-Pot-Stickers-664650.jpg;A little cornstarch,1 tsp. grated fresh ginger,1 tsp. fresh garlic (pressed through a garlic press),8 oz. mushrooms (your choice – I used half whites & half baby portobellos),2 scallions, white & green parts, roughly chopped,1 Tbs. tamari or soy sauce,1 tsp. sriracha hot sauce,A little vegetable oil,1 cup water, divided,24 won ton wrappers;cornstarch,fresh ginger,garlic,mushrooms,scallions,soy sauce,sriracha hot sauce,vegetable oil,water,won ton wrappers;<ol><li>Add all of the ingredients (except the wrappers, cornstarch, oil, and water) to the bowl of a food processor. Pulse until the mushrooms are finely minced and all of the ingredients are well combined. It will help if youve given the mushrooms a bit of a rough chop first, or if you use pre-sliced mushrooms.</li><li>Place a won ton wrapper on your work surface, turned so that it appears to be a diamond shape.</li><li>Place a teaspoon of filling in the middle of the wrapper.</li><li>Dip a fingertip into the bowl of water and trace along the two edges farthest from you. Bring up the end closest to you, fold over the filling, and pinch the edges together to seal. Make sure youve gently pressed the wrapper around the filling so there are no air pockets.</li><li>Stand up your little triangle pocket so that the filling side sits on your work surface. Fold the top point down, away from you, and pinch. Now, give the edges on either side of that fold 2 little pleats and pinch. Your pot sticker will now look like it has wings. Place it on a large plate thats been dusted with a bit of cornstarch, to prevent sticking.  (Traditionally, pot stickers are made with round dumpling wrappers, so if you have them, you can skip the part about folding the top point down.)</li><li>Heat the skillet over medium-high heat. Brush just a few drops of oil onto the hot pan surface, and place 12 of the pot stickers, upright, into the pan. Allow the bottoms to brown. Carefully add 1/2 cup water to the pan and cover it quickly. Cook for about 3-4 minutes, or until all of the water has been absorbed. Remove the pot stickers immediately to another plate to keep warm, and repeat the procedure with the rest of the uncooked ones.</li><li>*Feel like you have to have meat? Substitute 4 oz. of ground chicken (or pork, if you must) for half of the mushrooms, just dont run it through the food processor. Mix the processed ingredients with the ground chicken thoroughly and fill the wrappers as before. Add a full cup of water (instead of 1/2 cup) to the pan, and steam until the water evaporates, about 5-6 minutes.</li></ol>
Green Chili Cheddar Dip (Guest Post);http://www.pinkwhen.com/green-chili-cheddar-dip-guest-post/;https://spoonacular.com/recipeImages/green-chili-cheddar-dip-guest-post-715602.png;8 oz Cream Cheese,grated ½ tsp Garlic Powder,4 oz Green Chilis (1 small can),4 oz Sharp Cheddar Cheese;cream cheese,garlic powder,green chilis,sharp cheddar cheese;In a medium bowl microwave the cream cheese for 30-60 seconds or until it is softened.Mix in the green chilis, cheddar, and garlic. Mix well.Microwave the dip for 45 seconds, stir and then an additional 45 seconds or until it is heated through.Alternately, you can spread the mixture in a baking dish and bake at 350 degrees F for 20-30 min or until heated through.Serve with tortilla chips and enjoy the game (or the food!)
Bacon & Egg Toast Cups;http://www.foodista.com/recipe/P6LXBQR8/bacon-egg-toast-cups;https://spoonacular.com/recipeImages/Bacon---Egg-Toast-Cups-633265.jpg;6 strips of bacon, fried and crumbled, reserve fat,2 large eggs,salt& pepper,4 slices sandwich bread, your preference,2 1/2 sticks (1 ¼ cups) unsalted butter, room temperature;bacon,eggs,Salt & Pepper,sandwich bread,unsalted butter;<ol><li>Preheat oven to 375.</li><li>Lightly butter six standard muffin cups.</li><li>Flatten the bread slices slightly with a rolling pin, and with a four-and-a-half inch cookie cutter, cut into four rounds. Cut each round in half, then press the two halves into each muffin cup, overlapping slightly and making sure bread comes up to the edges. Use extra bread and crusts to patch any holes if necessary. Brush with remaining butter.</li><li>In a large skillet, cook the bacon until almost crisp, about four minutes, flipping once.</li><li>Lay one bacon slice in each bread cup and crack an egg over each. Season with salt & pepper.</li><li>Bake until egg whites are just set, about twenty-five minutes. The bacon will continue to cook in the oven.</li><li>Run a small knife around cups to loosen toast cups.</li></ol>
Peri Peri Chicken and Savoury Rice;http://www.afrolems.com/2013/07/30/peri-peri-chicken-savoury-rice/;https://spoonacular.com/recipeImages/peri-peri-chicken-and-savoury-rice-716296.jpg;1 Bell Pepper,5 Bird's eye Chilli Pepper,1 teaspoon black pepper,8 Chicken Pieces,½ teaspoon red chilli powder,5 cloves of garlic,1/2 inch of Ginger,1 Small sized Lemon (tablespoon all the juice out),1/2 bulb of onion,1 tablespoon oregano,2 tablespoon paprika,¼ teaspoon Red food colouring,2 teaspoon salt,1 Scotch Bonnet Pepper (Ata Rodo),1 Seasoning Cube,½ cup Vegetable Oil,4 tablespoon dark vinegar;bell pepper,bird's eye chilli pepper,black pepper,chicken pieces,chilli powder,garlic,ginger,lemon,onion,oregano,paprika,red food colouring,salt,scotch bonnet pepper,seasoning cube,vegetable oil,vinegar;<p>Wash the Chicken and set aside.Blend all the Ingredients together and pour as needed on the chicken. Rub it into the chicken and allow to marinate for about 3-5 hours.If you have a grill, heat up the grill and and place chicken on to cook. If you don’t and you are using an oven, set the oven to grill/broil at first and let the chicken brown on both sides then reset the oven to bake at 370 F and bake the chicken till cooked.If there is left over sauce from the blend, heat it up with a little water and serve with the peri peri chicken. Savoury RiceIngredients2 cups of Rice1/2 bulb of Onion1/4 pound of Cabbage1 cup of chopped carrots1 egg1 cup of melted butterChicken Seasoning1 teaspoon of currya pinch of thyme Wash and Parboil the Rice for 10 minutes.Heat the butter in a pot and pour in the chopped onions, carrots and cabbage and stir in.Break the egg into the veggie mix and stir in. Add your seasoning and pour in the parboiled rice. Pour in 1 cup of water and cook on medium heat till the rice is soft. Stir and serve with the chicken.</p>
Black Bean and Veggie Burgers with Corn Salsa;http://www.foodista.com/recipe/VQ2C4NBN/black-bean-and-veggie-burgers-with-corn-salsa;https://spoonacular.com/recipeImages/635059-556x370.jpg;1 can black beans, rinsed, drained and mashed,2 cups canned corn,1 carrot, peeled and diced,1/2 cup celery, diced,1 teaspoon Creole seasoning (more or less to taste),1/4 cup flour,1 teaspoon fresh parsley, chopped,1-2 cloves garlic, minced,2 garlic cloves, minced,2 green onions, diced,1/2 teaspoon ground black pepper,1 teaspoon ground black pepper (more or less to taste),1 teaspoon ground red pepper (more or less to taste),1/2-1 jalapeño pepper, seeded and diced,Juice of 1 lime,1/4 cup oatmeal (I used a bit more),1/2 cup onion, diced,1 cup panko breadcrumbs,1/2 cup red pepper, seeded and diced,1 cup salsa,1/2 teaspoon salt (more or less to taste),1 teaspoon salt (more or less to taste),3 medium-sized tomatoes, diced;canned black beans,canned corn,carrot,celery,creole seasoning,flour,fresh parsley,garlic,garlic cloves,green onions,ground pepper,ground pepper,ground pepper,jalapeno pepper,juice of lime,oatmeal,onion,panko breadcrumbs,red pepper,salsa,salt,salt,tomatoes;<ol><li>Mix all the salsa ingredients together (canned corn, jalapeño pepper, tomatoes, green onions, 1-2 cloves garlic, fresh parsley, juice of 1 lime, 1 tsp salt, 1 tsp pepper, 1 tsp ground red pepper) and chill for about an hour before serving.</li><li>Preheat your oven to 425 degrees F. Spray two baking sheets lightly with the nonstick spray and set aside.</li><li>Add the carrot to a bowl with a little water, cover it and microwave for about two minutes. Once cooled, mash them and add them to the mashed black beans. Mix together then add the remaining vegetables and mix well.</li><li>Add the oatmeal, breadcrumbs, seasoning and salsa. Mix together until combined. Add the flour and mix well. If the mixture is too moist, add more flour and adjust the seasoning, as needed.</li><li>Form the mixture into patties and place them on the baking sheets. Bake for about 20 minutes, flipping them halfway through cooking. When the burgers are finished, serve with the Corn Salsa or your favorite topping.</li></ol>
Vietnamese Pancakes with Vegetables, Herbs and a Fragrant Dipping Sauce (Bánh Xèo);http://foodandspice.blogspot.com/2012/05/vietnamese-pancakes-with-vegetables.html;https://spoonacular.com/recipeImages/vietnamese-pancakes-with-vegetables-herbs-and-a-fragrant-dipping-sauce-(bnh-xo)-716217.jpg;1 1/3 cups brown rice flour,1/2 tablespoon brown sugar,1 large carrot, scrubbed and grated,pinch of cayenne,1 3/4 cups of coconut milk + water if needed,1 medium daikon radish, scrubbed and grated,1 egg, beaten,1 cup enoki mushrooms, trimmed,2/3 cup fresh basil leaves, roughly chopped,1-inch piece fresh ginger, grated,1/4 cup fresh mint leaves, trimmed and roughly chopped,1 cup fresh parsley or cilantro, roughly chopped,1 clove garlic, crushed,1 fresh green chili, seeded and minced,2 fresh green chilies, seeded and sliced into small strips,4 green onions, washed and cut on an angle,juice from 2 limes,1 cup mung bean sprouts (see note below),2 fresh red chilies, seeded and minced,1 tablespoon rice vinegar,1/2 teaspoon sea salt,1 1/2 tablespoons toasted sesame oil,sesame oil for frying,1 1/2 cups snow peas, sliced into small strips,1 tablespoon tamari sauce,1 teaspoon turmeric;brown rice flour,brown sugar,carrot,cayenne,coconut milk,daikon radish,egg,enoki mushrooms,fresh basil leaves,fresh ginger,fresh mint leaves,fresh parsley,garlic,green chili,green chilies,green onions,juice of lime,mung bean sprouts,red chilies,rice vinegar,sea salt,sesame oil,sesame oil,snow peas,tamari soy sauce,turmeric;Begin by preparing the pancake batter. Whisk together the rice flour, egg, sea salt, turmeric, cayenne and green chili. Gradually whisk in the coconut milk. The mixture should be a smooth, semi-thick batter that is of pouring consistency. Add a little water if necessary. Cover and set aside while you prepare the rest of the food.Now prepare the sauce. Whisk together all of the ingredients and set aside.For the filling, combine the carrot, radish, green onions, green chilies and snow peas. Put the herbs in another bowl and have your sprouts ready along with the mushrooms.Heat a teaspoon of oil over medium heat in a non-stick skillet. When hot, ladle 1/2 cup of batter into the pan and spread with the bottom of the ladle until you have a roughly 6 to 8 inch pancake.  Fry for 6 to 8 minutes or until you have small holes forming and the bottom is crispy brown, then flip and fry for another few minutes on the other side. Transfer to a plate and keep warm in a 150 oven while you finish the rest of the pancakes  you should finish with 4 to 6 pancakes.To serve, scatter a portion of the vegetables, herbs and mushrooms over one half of the pancake. Sprinkle some sauce over top and fold the pancake. Drizzle with more sauce and there you go.
Cheesy Bacon Burger with Spicy Chipotle Aiolo Sauce;http://www.foodista.com/recipe/VWDL3M4T/cheesy-bacon-burger-with-spicy-chipotle-aiolo-sauce;https://spoonacular.com/recipeImages/Cheesy-Bacon-Burger-with-Spicy-Chipotle-Aiolo-Sauce-637631.jpg;2 teaspoons Chopped Chipotle Chiles In Adobo,3 Tablespoons Fat Free Mayonnaise,1 clove garlic, pressed or grated,¼ teaspoons Garlic Powder,3 Tablespoons Greek Yogurt, Non-fat,1 cup Green Bell Pepper, Sliced Into Strips,½ teaspoons Ground Cumin,¼ teaspoons Ground Black Pepper,1 1/2 pounds lean ground beef,4 teaspoons Lime Juice, Fresh,½ cups Onion, Sliced Into Strips,2 whole Wedges Of Laughing Cow Swiss Cheese, Sliced In Half,4 slices Turkey Bacon, Cooked According To Package,4 whole Wheat Hamburger Buns;chipotle chiles in adobo,fat free mayonnaise,garlic,garlic powder,greek yogurt,green bell pepper,ground cumin,ground pepper,lean ground beef,lime juice,onion,swiss cheese,turkey bacon,whole wheat hamburger buns;<ol><li>For Burgers:</li><li>In a pan cook turkey bacon according to directions on package.</li><li>Once bacon is done being cooked, take the bacon out and set aside. Add bell pepper and onion into same pan, cook until tender about 10 minutes.</li><li>Add ground beef to a small bowl, add garlic powder and ground pepper, mix well.</li><li>Divide the raw meat into 8 equal pieces (I used my scale to measure into 2oz each piece). Flatten out the hamburger, and place 1/2 a cheese wedge onto each piece of hamburger. Take the other pieces of the hamburger and place on top of the cheese , and squish them togther and seal the edges so the cheese doesnt ozzz out. Place on grill and cook until done. About 5 minutes per side.</li><li>Place burger on buns, top the burgers with bacon, peppers & onions and sauce.</li><li>For Spicy Chipotle Aiolo Sauce:</li><li>In a small bowl place all the ingredients together and wisk together until combined.</li><li>Makes 3/4 cups or 12 Tablespoons</li></ol>
