"id";"recipe_name";"recipe_url";"recipe_image";"ingredients";"raw_ingredients";"instructions";"createdAt"
"11";"Cucumber Mint Tea Sandwiches";"http://www.foodista.com/recipe/33CV8WS5/cucumber-mint-tea-sandwiches";"https://spoonacular.com/recipeImages/Cucumber-Mint-Tea-Sandwiches-641014.jpg";"4 slices of bread,1/2 organic cucumber, thinly sliced,fresh dill,fresh mint leaves,1 tablespoon maple syrup,dash of black pepper,black pepper grinder,2 tablespoons Vegenaise,3 tablespoons wasabi maple spread,2 teaspoons wasabi powder";"bread,cucumber,fresh dill,fresh mint leaves,maple syrup,pepper,pepper,vegenaise,wasabi,wasabi powder";"<ol><li>Directions:</li><li>Whip together the spread, thinly slice the cucumbers. You can do thick crunchy slices, or thin silky slices - your choice. Gather your fresh herbs, rinse and pat dry.</li><li>Spread a very thin layer of spread on all inside surfaces of bread.</li><li>Layer cucumber on top of the spread. Next, add a layer of mint, dill. You can add both herbs to each sandwich or do half dill and half mint. Grind fresh black pepper inside sandwiches before slicing.</li><li>Close sandwich and slice into quarter cubes or triangles.</li><li>Plate and serve.</li><li>Optional: add a thin layer of spicy sun dried tomato spread or a dash of red pepper flakes for an extra spicy kick of flavor. Another pretty addition would be edible flowers - add inside the sandwiches or as an edible garnish to the serving patter.</li></ol>";"2016-12-20 11:01:06"
"12";"Easy Baked Parmesan Chicken";"http://www.foodista.com/recipe/KVKJYVHX/easy-parmesan-chicken";"https://spoonacular.com/recipeImages/Easy-Baked-Parmesan-Chicken-641836.jpg";"1 1/2 cups Italian bread crumbs,2 egg, slightly beaten,1/4 cup Parmesan cheese, grated,1 jar pasta sauce,1 cup mozzarella cheese, shredded,8 boneless, skinless chicken breast halves";"bread crumbs,egg,parmesan cheese,pasta sauce,shredded mozzarella cheese,skinless boneless chicken breast halves";"<ol><li>Preheat oven to 400 degrees. Dip chicken in egg, then bread crumbs.</li><li>In 13 X 9 inch baking dish, arrange chicken. bake uncovered 20 minutes.</li><li>Pour pasta sauce over chicken, then top with cheese. Bake 10 more minutes or until chicken reaches 170 degrees and is no longer pink.</li><li>Serve immediately with or over pasta.</li></ol>";"2016-12-20 11:01:06"
"13";"Asian Salmon Burgers With Tangy Ginger Lime Sauce";"http://www.foodista.com/recipe/FRT38YTC/asian-salmon-burgers-with-tangy-ginger-lime-sauce";"https://spoonacular.com/recipeImages/Asian-Salmon-Burgers-With-Tangy-Ginger-Lime-Sauce-632874.jpg";"4 burger buns,1 tablespoon Fresh Basil, Chopped (about 5 leaves worth),1 clove Garlic,1 Green Onion, Chopped,1/4 Lime, Juiced,1/4 cup Mayonnaise,1 teaspoon Oyster Sauce,1/2 teaspoon Powdered Ginger,1 pound Salmon,5 1/2 tablespoons Sesame Oil,2 tablespoons Sour Cream,1 tablespoon Soy Sauce";"burger buns,fresh basil,garlic,green onion,juice of lime,mayonnaise,oyster sauce,powdered ginger,salmon,sesame oil,sour cream,soy sauce";"<ol><li>Cut the salmon into large hunks and run it through a food processor until no large pieces remain.</li><li>Add to the salmon the soy sauce, garlic, ginger, oyster sauce, green onion, and basil.</li><li>Combine ingredients well and form 4 large patties from mixture.</li><li>Heat up the sesame oil in a large frying pan on medium high heat and add in the patties. Cook for about 10 minutes flipping once half way through.</li><li>To make the sauce, add together all the above listed ingredients and stir to combine.</li><li>Pour a spoonful of sauce over the top of the finished salmon burger and serve inside a toasted bun.</li></ol>";"2016-12-20 11:01:06"
"14";"Bacon Wrapped Green Bean Bundles";"http://www.foodista.com/recipe/D648KSZJ/bacon-wrapped-green-bean-bundles";"https://spoonacular.com/recipeImages/Bacon-Wrapped-Green-Bean-Bundles-633340.jpg";"6 slices of bacon,1 cup Brown Sugar,1/2 cup butter, melted,1 tsp minced fresh garlic,1 1/2 pounds fresh green beans, ends trimmed,1 tsp soy sauce";"bacon,brown sugar,butter,garlic,green beans,soy sauce";"<ol><li>Preheat oven to 425F. Grease a 1015 inch baking dish and set aside.</li><li>Wrap 8 or 9 green beans with a strip of bacon and place in prepared dish. Repeat.</li><li>Combine butter, brown sugar, garlic, and soy sauce. Pour over green beans.</li><li>Bake in preheated oven for 25 to 30 minutes, or until bacon and green beans are browned and crispy.</li></ol>";"2016-12-20 11:01:06"
"15";"Basil Infused Balsamic Oven Baked Chicken";"http://www.pinkwhen.com/basil-infused-balsamic-oven-baked-chicken/";"https://spoonacular.com/recipeImages/basil-infused-balsamic-oven-baked-chicken-730914.jpg";"3 (Tbsp) balsamic vinegar,organic chicken breast (because it's healthy!),mozzarella cheese,3 (Tbsp) basil olive oil,tomato";"balsamic vinegar,chicken breast,mozzarella cheese,olive oil,tomato";"Place into the oven and bake for 40 minutes. Cover with mozzarella cheese and place back into the oven for 10 additional minutes. Use a thermometer make sure the internal temp is 160 for the chicken to be fully cooked. If not, allow to cook for a few additional minutes until the desired temp is reached.Allow to cool slightly and serve with your favorite salad.Basil Infused Balsamic Oven Baked ChickenI LOVE this recipe. If you want to join in on the Simple Fit Forty Lifestyle campaign we are kicking off here on PinkWhen, then make sure you sign up for the newsletter and stay up to date. You can also follow along in our private Facebook community, Simple Fit Forty Lifestyle, where we will be sharing all things fit an healthy and motivating each other along the way.JOIN 500,000 SUBSCRIBERS!Join over 500,000 others who follow PinkWhen on Social Media, the PinkWhen blog, and email. Sign up to receive exclusive bonuses like this FREE Simple Fit Dinners Ebook.Don't wait! You won't want to miss a thing.Success! Now check your email to confirm your subscription and download your FREE ebook.There was an error submitting your subscription. Please try again.First NameEmail AddressSubscribePowered by ConvertKit";"2016-12-20 11:01:06"
"16";"Cod with Tomato-Olive-Chorizo Sauce and Mashed Potatoes";"http://www.foodista.com/recipe/GNSQNH5W/cod-with-tomatoes-olives-and-chorizo";"https://spoonacular.com/recipeImages/Cod-with-tomatoes--olives-and-chorizo-639851.jpg";"50g pitted black olives, halved,500 g cod fillets, fresh or frozen,4 tbs fresh parsley, chopped,Fresh parsley leaves, chopped,1 tbs lemon juice,1 tbs olive oil,2 tbs olive oil,240g whole plum tomatoes, canned,300 g potatoes,100g fresh red pepper, trimmed, cut into small strips,½ tsp salt,100g chorizo or a semi-smoked sausage, cubed";"black olives,cod fillets,fresh parsley,fresh parsley leaves,lemon juice,olive oil,olive oil,plum tomatoes,potatoes,red pepper,salt,smoked sausage";"<ol><li>If frozen, thaw completely the cod fillets, and dry them with paper towels. season with salt and set aside.</li><li>Peel and quarter the potatoes, and cook in lightly salted water until tender.</li><li>Meanwhile, fry the pepper in olive oil for 3-4 minutes.</li><li>Add cubed sausage, saut for another 2-3 minutes.</li><li>Add the whole plum tomatoes,  halve them with a flat end of a wooden spoon.</li><li>Stir in olives and parsley, cook the sauce gently for 2 minutes. Set aside.</li><li>Drain the potatoes and season with parsley, olive oil and lemon juice. Use a hand masher to mix and mash. Leave in a warm place.</li><li>Place the cod fillets into a hot oiled non-stick pan and cook over a high heat for 5 minutes on each side or until golden brown.</li><li>Serve with mashed potatoes and sauce.</li></ol>";"2016-12-20 11:01:06"
"17";"Dressed Up Kale Salad";"http://foodandspice.blogspot.com/2016/06/dressed-up-kale-salad.html";"https://spoonacular.com/recipeImages/dressed-up-kale-salad-792072.jpg";"1 tablespoon maple syrup, honey or agave nectar,juice from 1/2 lemon (1 1/2 tablespoons),leaves from half bunch of kale (6 to 7 stalks),1 1/2 tablespoons nutritional yeast,1 shallot, minced,1 tablespoon tahini,water as needed";"agave nectar,juice of lemon,kale,nutritional yeast,shallot,tahini,water";"Remove the kale leaves from the stalk and tear into pieces. Rinse well and pat dry.In a large bowl, whisk together the nutritional yeast, tahini, lemon juice, sweetneer and shalot. Add water as necessary to thin to a thick but pourable consistency.Add the kale to the bowl and mix with your hands until everything is well blended. Sprinkle with seeds if desired, and serve.";"2016-12-20 11:01:06"
"18";"Fudgy chocolate cream cheese brownies with Baileys";"http://www.foodista.com/recipe/6DCLS47W/fudgy-chocolate-cream-cheese-brownies-with-baileys";"https://spoonacular.com/recipeImages/Fudgy-chocolate-cream-cheese-brownies-with-Baileys-644081.jpg";"2 tablespoon Baileys,8 oz bittersweet chocolate, chopped,1/2 cup butter, room temperature,1 package cream cheese (8 oz), room temperature,3 large eggs, at room temperature,3/4 cups All-purpose flour,1 tablespoon instant espresso,1 1/2 cup sugar,1 tablespoon vanilla extract";"baileys,bittersweet chocolate,butter,cream cheese,eggs,flour,instant espresso,sugar,vanilla extract";"<ol><li>To make the chocolate layer, place chocolate and butter in a large glass dish (you will be adding the eggs, sugar, and flour to it later) and microwave 1.5 minutes. The chocolate may hold its shape when you remove it from the microwave, but it will be soft, so stir to melt it. If pieces remain after you have stirred it for a while then return to microwave for another few seconds and then stir again until it is fully melted. Be careful not to overheat the chocolate. You are better off starting with less time and reheating than overheating and ruining it.</li><li>When chocolate has melted add the sugar and vanilla and stir with a whisk to combine. Let it cool a little and then add the eggs, one at a time, whisking after each addition. Don't add the eggs when the chocolate is hot because it may cook the whites.</li><li>Once the eggs are mixed in, place the flour in a strainer and sift over the chocolate mixture, a little at a time, mixing it in as you sift it over. Set aside while you prepare the cream cheese layer.</li><li>For the cream cheese layer, place the cream cheese in a bowl and mix with a hand mixer for a couple of minutes until soft.</li><li>Add the sugar and mix to blend it in.</li><li>Add egg and beat to incorporate.</li><li>Add Bailey's and stir it in.</li><li>To assemble, spray an 8 square baking pan with straight sides with non-stick spray, or butter and flour it. You can also line the baking pan with parchment, leaving the edges high so you can lift the entire cake out of the pan.</li><li>Pour the chocolate mixture into the pan and tilt it to spread it out evenly.</li><li>Pour the cream cheese mixture over it, and with a fork, swirl the layers so some of the chocolate shows on top and the cream cheese layer becomes part of the chocolate layer. Do not over mix - you just want some swirls.</li><li>Place in a preheated 350 degree F oven and bake for 35 minutes or until a knife inserted into the center comes out clean. Do not over bake.</li><li>Remove from oven and let cool before cutting into squares.</li></ol>""";"2016-12-20 11:01:07"
"19";"Savory Radicchio and Prosciutto Crostini Topped with Sweet Syrupy Sapa";"http://www.foodista.com/recipe/JV3KMPQW/savory-radicchio-and-prosciutto-crostini-topped-with-sweet-syrupy-sapa";"https://spoonacular.com/recipeImages/Savory-Radicchio-and-Prosciutto-Crostini-Topped-with-Sweet-Syrupy-Sapa-631756.jpg";"toasty bread,clove of garlic,1-2 glugs of olive oil,2-3 slices of pancetta, prosciutto, bacon, speck - whatever fatty component you want.,Head of radicchio,salt & pepper,optional - few slices of soft cheese - we use sheep's milk (pecorino),spoonful of sapa - grape must or if unavailable, you can you balsamic vinegar with a tiny bit of honey";"bread,garlic clove,olive oil,pancetta,radicchio,Salt & Pepper,sheep's milk cheese,if unavailable";"<ol><li>In a pan, heat the olive oil on low heat, add in the clove of garlic. Cook until lightly brown on all sides.</li><li>Turn up the heat, rough chop your head of radicchio, removing the core and cook down for a couple of minutes until the radicchio wilts.</li><li>Turn the heat down, chop up your prosciutto or bacon and add to the pan. You want to render the fat of this slowly - if you have the heat too high, the pork will crisp up & become chewy - you dont want this with the soft radicchio.</li><li>Allow to cook until most of the moisture in the pan has cooked out. The radicchio & pork should still be soft. Season with salt & pepper. Remove the clove of garlic and drizzle over the sapa or balsamic & honey mixture. Check your seasonings.</li><li>Toast the bread, top with a slice of pecorino then a spoonful of the mixture and serve immediately. Goes great with a glass of red wine.</li></ol>";"2016-12-20 11:01:07"
"20";"Brown sugar & Spice Sugar cookie frogs";"http://www.foodista.com/recipe/883DLCS5/brown-sugar-spice-sugar-cookie-frogs";"https://spoonacular.com/recipeImages/Brown-sugar---Spice-Sugar-cookie-frogs-636300.jpg";"1/8 tsp allspice,3/4 teaspoon baking powder,2 sticks butter,1/2 tsp cinnamon,1 egg,1/4 tsp ginger,1/2 c granulated sugar (I use sugar that I've stored vanilla beans in),1/2 cup packed light brown sugar,1/8 tsp nutmeg (freshly grated, if possible),3 c unbleached, all-purpose flour,1 tsp pure vanilla extract";"allspice,baking powder,butter,cinnamon,egg,ginger,granulated sugar,light brown sugar,nutmeg,unbleached flour,vanilla extract";"<ol><li>Whisk the flour, baking powder and spices, set aside.</li><li>Cream the sugar and butter. Add the egg and extracts and mix until well-blended.</li><li>Gradually add the flour mixture and beat just until combined, scraping down the bowl, especially the bottom. (The dough will be quite thick...you may need to knead in stray bits of flour from the bottom of the bowl by hand.)</li><li>Roll on a floured surface and cut into shapes. Place on parchment lined baking sheets and bake for 9-12 minutes, depending on the size of your cutter. Let sit a few minutes on the sheet, then transfer to a cooling rack.</li></ol>";"2016-12-20 11:01:07"
"21";"Balsamic-Honey Chicken Drumsticks";"http://www.foodista.com/recipe/VV27WS4C/balsamic-honey-chicken-drumsticks";"https://spoonacular.com/recipeImages/Balsamic-Honey-Chicken-Drumsticks-633955.jpg";"1/2 cup balsamic vinegar,1/2 cup brown sugar,10 to 12 chicken drumsticks,1/4 cup chopped fresh flat-leaf parsley,5 garlic cloves, halved,1/2 cup honey,5 sprigs of rosemary,2 tablespoons toasted sesame seeds,1/4 cup soy sauce";"balsamic vinegar,brown sugar,chicken drumsticks,fresh flat-leaf parsley,garlic cloves,honey,rosemary,sesame seeds,soy sauce";"<ol><li>Combine the balsamic vinegar, honey, brown sugar, soy sauce, rosemary sprigs, and garlic cloves in a large, resealable plastic bag. Shake and squeeze the contents of the bag to dissolve the honey and brown sugar. Add the chicken drumsticks to the bag and seal with as little air as possible in the bag. Place in the refrigerator and marinate for 2 hours.</li><li>Preheat the oven to 450 degrees F.</li><li>Place the chicken drumsticks on a foil-lined baking sheet. Bake until the skin is caramelized and very dark in spots, about 30 to 35 minutes.</li><li>Meanwhile, place the marinade in a small saucepan. Bring the marinade to a boil. Reduce the heat to simmer and cook over low heat until thick, about 15 minutes. Reserve.</li><li>Use a pastry brush to brush some of the boiled marinade on the cooked chicken. Place the chicken on a serving platter. Sprinkle with the sesame seeds and the chopped parsley.</li></ol>";"2016-12-20 11:01:07"
"22";"Cucumber Mint Tea Sandwiches";"http://www.foodista.com/recipe/33CV8WS5/cucumber-mint-tea-sandwiches";"https://spoonacular.com/recipeImages/Cucumber-Mint-Tea-Sandwiches-641014.jpg";"4 slices of bread,1/2 organic cucumber, thinly sliced,fresh dill,fresh mint leaves,1 tablespoon maple syrup,dash of black pepper,black pepper grinder,2 tablespoons Vegenaise,3 tablespoons wasabi maple spread,2 teaspoons wasabi powder";"bread,cucumber,fresh dill,fresh mint leaves,maple syrup,pepper,pepper,vegenaise,wasabi,wasabi powder";"<ol><li>Directions:</li><li>Whip together the spread, thinly slice the cucumbers. You can do thick crunchy slices, or thin silky slices - your choice. Gather your fresh herbs, rinse and pat dry.</li><li>Spread a very thin layer of spread on all inside surfaces of bread.</li><li>Layer cucumber on top of the spread. Next, add a layer of mint, dill. You can add both herbs to each sandwich or do half dill and half mint. Grind fresh black pepper inside sandwiches before slicing.</li><li>Close sandwich and slice into quarter cubes or triangles.</li><li>Plate and serve.</li><li>Optional: add a thin layer of spicy sun dried tomato spread or a dash of red pepper flakes for an extra spicy kick of flavor. Another pretty addition would be edible flowers - add inside the sandwiches or as an edible garnish to the serving patter.</li></ol>";"2016-12-20 11:01:07"
